name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Hyundai City,2017,2526729,76630,Diesel,Trustmark Dealer,Manual,Second Owner
Jaguar City,2006,4107129,114428,Petrol,Trustmark Dealer,Automatic,Second Owner
Honda City,2008,295556,132035,Diesel,Trustmark Dealer,Manual,First Owner
Maruti City,2010,2097883,136244,Petrol,Dealer,Automatic,Fourth & Above Owner
Ford City,2009,3669992,79518,CNG,Trustmark Dealer,Manual,Third Owner
Mercedes City,2007,1755537,91326,Petrol,Individual,Automatic,Third Owner
BMW C-Class,2005,852755,130243,Diesel,Dealer,Manual,Second Owner
Maruti Swift,2008,3866344,22748,LPG,Individual,Automatic,Third Owner
Ford X5,2006,3726362,144164,CNG,Trustmark Dealer,Automatic,Third Owner
Ford Fortuner,2009,943088,63311,Diesel,Individual,Manual,First Owner
BMW X5,2007,2795834,32692,CNG,Trustmark Dealer,Automatic,Second Owner
Honda X5,2013,259778,134954,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Ford Swift,2010,1294409,140035,Diesel,Dealer,Automatic,Second Owner
Mercedes Swift,2022,2853528,89507,Diesel,Dealer,Automatic,First Owner
Ford Swift,2010,4304399,90152,LPG,Trustmark Dealer,Manual,Third Owner
Ford City,2023,1713083,14926,CNG,Dealer,Automatic,Fourth & Above Owner
Ford C-Class,2016,3542103,13969,CNG,Individual,Manual,Second Owner
Mahindra City,2015,2373513,45733,Diesel,Dealer,Manual,Third Owner
Mahindra C-Class,2006,1598949,79855,Petrol,Dealer,Manual,Second Owner
Honda C-Class,2019,722154,51743,Diesel,Individual,Manual,Fourth & Above Owner
Maruti X5,2016,3668582,140193,CNG,Dealer,Automatic,Second Owner
Ford X5,2016,1211930,117445,Diesel,Trustmark Dealer,Automatic,Second Owner
Jaguar C-Class,2013,1279525,30323,LPG,Individual,Manual,Second Owner
Maruti C-Class,2006,1985818,26428,Petrol,Trustmark Dealer,Automatic,Third Owner
Honda City,2007,3151720,44578,Diesel,Individual,Manual,Fourth & Above Owner
Toyota City,2016,1360117,96486,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti X5,2020,2282963,74140,CNG,Trustmark Dealer,Automatic,Third Owner
Maruti Swift,2005,4456146,117325,Diesel,Dealer,Automatic,Third Owner
Audi C-Class,2007,2785171,93829,CNG,Trustmark Dealer,Manual,Third Owner
Hyundai City,2006,1481506,16364,LPG,Dealer,Manual,First Owner
Audi X5,2013,489134,138867,CNG,Individual,Automatic,Second Owner
Mercedes City,2023,2968705,141763,LPG,Trustmark Dealer,Manual,Second Owner
Mahindra C-Class,2019,4524660,105598,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Mahindra C-Class,2022,3066069,67062,LPG,Individual,Automatic,Second Owner
Hyundai Fortuner,2015,937090,98302,Diesel,Individual,Manual,First Owner
BMW Swift,2020,1114565,73928,CNG,Trustmark Dealer,Automatic,Third Owner
BMW Fortuner,2021,4035598,51347,CNG,Individual,Automatic,Fourth & Above Owner
Honda X5,2009,1252425,13121,Petrol,Dealer,Automatic,Fourth & Above Owner
Tata City,2016,977567,93793,Petrol,Individual,Manual,Second Owner
Hyundai X5,2015,2916207,38164,Petrol,Individual,Automatic,Fourth & Above Owner
Maruti C-Class,2019,1949736,35491,Petrol,Trustmark Dealer,Automatic,Third Owner
BMW Fortuner,2007,1770234,69222,CNG,Dealer,Manual,Fourth & Above Owner
Ford Fortuner,2005,251707,13748,LPG,Individual,Manual,Third Owner
Tata Fortuner,2020,480833,36553,LPG,Dealer,Manual,First Owner
Jaguar X5,2006,3899100,126547,Diesel,Dealer,Manual,First Owner
Maruti C-Class,2006,1288963,70380,LPG,Dealer,Automatic,Third Owner
Mercedes City,2007,2077145,54331,CNG,Trustmark Dealer,Manual,Second Owner
Ford City,2012,2483785,130617,CNG,Individual,Manual,Fourth & Above Owner
Ford X5,2019,4194420,49560,CNG,Trustmark Dealer,Manual,Second Owner
Hyundai Fortuner,2011,1034874,63865,Diesel,Individual,Manual,Fourth & Above Owner
Tata Swift,2010,1089493,85910,Petrol,Individual,Automatic,First Owner
Honda X5,2013,978799,145747,LPG,Trustmark Dealer,Manual,First Owner
Mercedes X5,2005,3733716,87986,CNG,Dealer,Automatic,First Owner
BMW C-Class,2012,3707447,20068,CNG,Dealer,Manual,Fourth & Above Owner
Hyundai City,2007,1079459,64460,Petrol,Individual,Automatic,First Owner
BMW X5,2008,2381533,110766,CNG,Trustmark Dealer,Automatic,First Owner
Hyundai X5,2019,2022744,56418,LPG,Dealer,Manual,First Owner
Hyundai Fortuner,2010,2491136,36206,Diesel,Dealer,Automatic,First Owner
Hyundai Fortuner,2019,3841644,138180,CNG,Individual,Manual,Second Owner
Tata Swift,2007,4043139,10287,LPG,Individual,Automatic,First Owner
Honda C-Class,2018,3293510,32337,CNG,Trustmark Dealer,Automatic,First Owner
Hyundai Swift,2018,4385224,142233,Petrol,Individual,Automatic,Second Owner
Toyota Fortuner,2008,4647395,110667,CNG,Dealer,Manual,Second Owner
Jaguar City,2016,1052050,100071,CNG,Dealer,Automatic,Fourth & Above Owner
BMW Fortuner,2021,2561216,108064,Diesel,Dealer,Manual,Third Owner
Maruti C-Class,2011,2767587,116511,Petrol,Dealer,Automatic,First Owner
Audi Fortuner,2013,4995464,13178,Petrol,Trustmark Dealer,Automatic,First Owner
Mercedes C-Class,2007,464237,41831,Diesel,Trustmark Dealer,Automatic,First Owner
Mahindra C-Class,2017,4669353,143248,CNG,Individual,Automatic,Fourth & Above Owner
Honda C-Class,2019,2714719,113306,LPG,Individual,Automatic,First Owner
Maruti C-Class,2022,2108911,122025,Petrol,Individual,Automatic,Third Owner
Ford C-Class,2023,4202981,100417,Petrol,Trustmark Dealer,Manual,Second Owner
Toyota City,2005,1619920,21984,CNG,Dealer,Manual,Fourth & Above Owner
Mahindra Swift,2010,2379441,99312,CNG,Individual,Manual,Second Owner
Audi X5,2006,2937946,93291,Petrol,Dealer,Automatic,First Owner
Maruti Swift,2018,3948529,17135,CNG,Individual,Manual,First Owner
Mahindra C-Class,2010,3758818,10320,LPG,Individual,Automatic,First Owner
Maruti City,2018,1649466,98774,Petrol,Individual,Manual,Third Owner
Toyota Fortuner,2008,1561236,108071,LPG,Individual,Manual,Third Owner
Audi City,2012,2288062,119863,LPG,Individual,Automatic,Fourth & Above Owner
Ford C-Class,2007,2556632,51777,CNG,Dealer,Automatic,Second Owner
Hyundai City,2023,2034907,56250,LPG,Individual,Manual,First Owner
BMW City,2018,4061774,83034,CNG,Dealer,Manual,First Owner
Ford C-Class,2021,3833795,114940,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai City,2012,3677084,50130,CNG,Individual,Manual,First Owner
Tata X5,2018,4527802,143609,LPG,Dealer,Automatic,Third Owner
Tata X5,2010,3599752,25216,Diesel,Trustmark Dealer,Manual,Second Owner
Tata City,2020,4000986,94149,CNG,Trustmark Dealer,Automatic,Second Owner
Honda Fortuner,2023,923858,13009,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Jaguar C-Class,2018,3018907,99904,Petrol,Dealer,Manual,Third Owner
Mercedes X5,2023,244816,25029,Petrol,Individual,Automatic,First Owner
Mercedes Fortuner,2007,204138,112171,CNG,Individual,Manual,Second Owner
Tata City,2014,4363960,124456,CNG,Dealer,Automatic,Second Owner
BMW Fortuner,2023,3436904,72559,Petrol,Individual,Automatic,Third Owner
Audi Swift,2013,4064044,74892,LPG,Dealer,Manual,Fourth & Above Owner
Toyota X5,2017,421552,80409,LPG,Individual,Automatic,Fourth & Above Owner
Audi City,2011,243764,149707,LPG,Trustmark Dealer,Automatic,First Owner
Toyota C-Class,2018,2420182,43065,CNG,Individual,Manual,Fourth & Above Owner
Audi City,2013,2097951,130544,Diesel,Dealer,Automatic,Second Owner
Jaguar C-Class,2023,516462,117340,Diesel,Dealer,Automatic,Fourth & Above Owner
Honda City,2019,1089855,43783,Diesel,Trustmark Dealer,Manual,First Owner
Honda Fortuner,2018,1614718,44152,Diesel,Dealer,Manual,Second Owner
Tata Fortuner,2010,2357280,68741,Diesel,Individual,Automatic,Fourth & Above Owner
Hyundai Fortuner,2008,1008301,117049,CNG,Individual,Automatic,Fourth & Above Owner
Mahindra Swift,2012,4380266,39092,CNG,Trustmark Dealer,Automatic,Third Owner
Honda C-Class,2021,4546657,96483,Diesel,Dealer,Manual,First Owner
Honda Fortuner,2013,312935,131585,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Ford Swift,2005,4251889,69754,CNG,Individual,Automatic,Third Owner
Ford C-Class,2018,1538306,97592,Diesel,Trustmark Dealer,Automatic,Second Owner
Hyundai City,2015,2350205,104543,LPG,Dealer,Automatic,Third Owner
Mahindra Swift,2007,4480650,53169,CNG,Trustmark Dealer,Automatic,Third Owner
BMW X5,2013,4723535,64745,LPG,Dealer,Automatic,Fourth & Above Owner
Ford Swift,2018,4800145,120168,CNG,Dealer,Manual,Fourth & Above Owner
BMW Swift,2013,4952989,123985,CNG,Individual,Manual,Fourth & Above Owner
Maruti C-Class,2008,1569391,15543,Diesel,Individual,Automatic,Third Owner
Ford City,2008,4510518,31067,CNG,Individual,Automatic,Second Owner
Jaguar X5,2012,2782153,61033,Petrol,Dealer,Manual,First Owner
Mahindra Fortuner,2006,1053329,55256,Petrol,Trustmark Dealer,Manual,Third Owner
Hyundai Fortuner,2013,1930085,96803,Diesel,Dealer,Manual,Fourth & Above Owner
Maruti Swift,2018,2226110,128843,LPG,Individual,Automatic,First Owner
Mahindra C-Class,2013,3284562,38992,LPG,Individual,Automatic,Second Owner
Tata C-Class,2020,4795130,58803,LPG,Trustmark Dealer,Automatic,First Owner
Jaguar Fortuner,2021,636542,119975,Petrol,Individual,Automatic,Fourth & Above Owner
Mahindra X5,2020,4766701,36270,LPG,Individual,Manual,Third Owner
Jaguar City,2016,4339394,146269,LPG,Individual,Manual,Third Owner
Jaguar X5,2007,3180672,17452,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
BMW City,2015,2262087,51486,LPG,Dealer,Manual,Third Owner
Audi Fortuner,2018,626674,24859,Petrol,Individual,Automatic,Fourth & Above Owner
Tata City,2022,282409,42083,Petrol,Trustmark Dealer,Automatic,Third Owner
Maruti C-Class,2009,3828104,77708,Petrol,Individual,Manual,Third Owner
Mahindra Swift,2020,2195141,121462,Diesel,Trustmark Dealer,Manual,Third Owner
Toyota Swift,2009,4025258,103076,Diesel,Individual,Manual,Second Owner
Maruti Fortuner,2007,3699701,29053,CNG,Trustmark Dealer,Manual,Second Owner
Audi C-Class,2016,2127716,99745,LPG,Individual,Manual,Fourth & Above Owner
Maruti X5,2005,2121672,79517,Diesel,Dealer,Automatic,Second Owner
Honda C-Class,2013,1392503,146319,Petrol,Individual,Automatic,Fourth & Above Owner
Toyota Swift,2013,1333754,147207,Petrol,Trustmark Dealer,Manual,First Owner
Audi Swift,2008,3103609,146645,Diesel,Individual,Manual,First Owner
BMW C-Class,2007,1646250,89267,Diesel,Dealer,Manual,Second Owner
Mahindra C-Class,2021,1843707,148261,Diesel,Individual,Automatic,First Owner
Mercedes Swift,2006,4000315,90077,CNG,Trustmark Dealer,Automatic,First Owner
Audi X5,2005,3351396,86623,Petrol,Trustmark Dealer,Automatic,Third Owner
Hyundai Fortuner,2012,3568270,141004,CNG,Dealer,Manual,Third Owner
Mahindra Fortuner,2017,2452641,63687,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Tata C-Class,2019,544126,78312,LPG,Individual,Manual,First Owner
Audi Fortuner,2012,2605514,117615,Petrol,Individual,Automatic,Fourth & Above Owner
Honda Swift,2016,2042360,140976,Petrol,Individual,Automatic,Fourth & Above Owner
Mercedes Swift,2016,1337411,37564,Diesel,Trustmark Dealer,Automatic,First Owner
Honda C-Class,2018,1870357,38835,Diesel,Individual,Manual,Second Owner
Mercedes C-Class,2019,3112511,17697,LPG,Individual,Manual,First Owner
Tata C-Class,2019,3530922,90165,CNG,Individual,Automatic,Third Owner
Hyundai X5,2013,3899509,67823,Diesel,Dealer,Manual,First Owner
Mahindra Fortuner,2023,4355479,19615,Diesel,Trustmark Dealer,Manual,Second Owner
BMW C-Class,2012,4688155,146132,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Honda City,2023,3502198,140499,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Honda City,2010,497986,86436,Diesel,Dealer,Manual,Third Owner
Jaguar Swift,2023,3966001,130562,Petrol,Trustmark Dealer,Manual,Third Owner
Mercedes Fortuner,2008,2665912,81117,LPG,Dealer,Manual,Third Owner
Ford C-Class,2011,2222784,44782,Diesel,Dealer,Automatic,Fourth & Above Owner
Mahindra City,2008,1053605,88533,Petrol,Trustmark Dealer,Manual,Third Owner
Mercedes Fortuner,2016,2572948,82684,LPG,Individual,Manual,First Owner
Jaguar Swift,2017,1515823,89558,Petrol,Individual,Automatic,Fourth & Above Owner
Maruti X5,2007,3633372,91422,Petrol,Trustmark Dealer,Automatic,Second Owner
Mercedes Fortuner,2016,970692,16638,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
BMW Fortuner,2006,628745,47419,Diesel,Dealer,Automatic,First Owner
Mahindra X5,2006,873812,43377,CNG,Trustmark Dealer,Manual,First Owner
Jaguar Fortuner,2013,3132977,116244,Petrol,Dealer,Automatic,Third Owner
Maruti Swift,2005,3770118,33382,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Toyota Swift,2012,1558126,77789,Diesel,Individual,Manual,Fourth & Above Owner
Jaguar X5,2010,4017042,120634,Diesel,Individual,Manual,Fourth & Above Owner
Toyota C-Class,2010,4739170,141936,LPG,Trustmark Dealer,Manual,Second Owner
Mahindra City,2022,736644,109572,Petrol,Dealer,Automatic,Third Owner
Honda C-Class,2021,852416,133664,CNG,Individual,Manual,First Owner
Jaguar Fortuner,2016,3347915,120674,Petrol,Dealer,Automatic,First Owner
Hyundai City,2010,2973737,113533,LPG,Trustmark Dealer,Manual,Third Owner
Toyota X5,2012,1907542,91845,Diesel,Trustmark Dealer,Manual,First Owner
BMW X5,2023,4391896,79590,CNG,Individual,Automatic,First Owner
Hyundai City,2014,1674620,137775,Diesel,Trustmark Dealer,Manual,Third Owner
Audi Swift,2005,1374846,76471,LPG,Individual,Manual,First Owner
Audi City,2017,2192569,53298,Petrol,Dealer,Manual,Fourth & Above Owner
Maruti Fortuner,2021,2049395,58924,CNG,Individual,Manual,Second Owner
Honda Swift,2007,1189336,19726,Diesel,Individual,Manual,Third Owner
Mahindra X5,2012,3338102,50542,Diesel,Dealer,Automatic,Second Owner
Jaguar City,2018,2650979,44753,Diesel,Individual,Automatic,First Owner
Ford C-Class,2007,4105513,89788,Petrol,Individual,Manual,First Owner
BMW C-Class,2020,2232816,31316,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Toyota Fortuner,2017,261753,94698,Petrol,Dealer,Automatic,Third Owner
Mahindra C-Class,2021,1271984,25960,Petrol,Individual,Automatic,First Owner
Hyundai City,2017,4518420,40791,Petrol,Dealer,Manual,Third Owner
Tata City,2010,855496,35216,LPG,Dealer,Manual,Third Owner
Audi C-Class,2021,2935090,74427,LPG,Individual,Manual,Third Owner
Tata City,2018,3405228,122470,LPG,Trustmark Dealer,Automatic,Third Owner
BMW Fortuner,2021,2363349,83290,CNG,Dealer,Automatic,Third Owner
Ford Swift,2012,693992,57014,Petrol,Individual,Manual,Second Owner
Jaguar Fortuner,2015,276240,145150,Petrol,Dealer,Manual,Fourth & Above Owner
Maruti Fortuner,2005,4629899,60519,LPG,Trustmark Dealer,Automatic,Third Owner
Ford City,2011,4091151,14042,Petrol,Trustmark Dealer,Automatic,Second Owner
BMW Swift,2021,1527042,59052,Petrol,Trustmark Dealer,Manual,First Owner
Ford City,2014,2148061,24389,Diesel,Individual,Automatic,Third Owner
BMW X5,2015,4585224,105961,Petrol,Individual,Automatic,First Owner
BMW City,2013,1098332,78111,Diesel,Trustmark Dealer,Automatic,Third Owner
Mercedes City,2013,1079854,115058,Petrol,Individual,Automatic,Second Owner
Toyota City,2009,4225942,103715,CNG,Trustmark Dealer,Automatic,Second Owner
Tata Swift,2021,2734957,60733,LPG,Individual,Automatic,Second Owner
Audi City,2013,363187,44754,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Mercedes Swift,2021,4849454,95886,LPG,Dealer,Manual,First Owner
Jaguar C-Class,2023,4903855,99524,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Mercedes X5,2011,1762518,91006,Diesel,Trustmark Dealer,Automatic,Third Owner
Honda Swift,2013,1882678,34704,Diesel,Individual,Automatic,First Owner
Honda C-Class,2011,367527,104913,CNG,Individual,Automatic,Second Owner
Audi Swift,2017,2944804,104108,Petrol,Individual,Manual,First Owner
Ford Swift,2015,1787819,17493,Diesel,Individual,Manual,Second Owner
Toyota X5,2018,1720373,79639,CNG,Individual,Automatic,Fourth & Above Owner
Audi Fortuner,2023,794557,64383,Diesel,Individual,Manual,Fourth & Above Owner
BMW Fortuner,2015,1190121,144066,Petrol,Dealer,Automatic,Second Owner
Hyundai Swift,2017,3649330,57234,Diesel,Trustmark Dealer,Automatic,Second Owner
Toyota City,2018,1925049,138674,CNG,Trustmark Dealer,Automatic,Third Owner
Tata C-Class,2017,3445705,15594,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
Toyota City,2005,683442,17371,CNG,Dealer,Automatic,Fourth & Above Owner
BMW City,2012,4309545,57315,Petrol,Trustmark Dealer,Automatic,Third Owner
BMW Swift,2016,1620827,137251,Petrol,Dealer,Automatic,Fourth & Above Owner
Maruti Swift,2023,2156874,89526,LPG,Dealer,Manual,Second Owner
Audi Swift,2016,4131814,96005,LPG,Dealer,Automatic,First Owner
BMW Swift,2012,4888118,115573,LPG,Trustmark Dealer,Manual,First Owner
Honda Fortuner,2012,1951797,148202,Petrol,Dealer,Automatic,Fourth & Above Owner
Jaguar Swift,2017,297406,147900,Diesel,Trustmark Dealer,Automatic,Third Owner
Hyundai Fortuner,2016,3652814,67514,CNG,Trustmark Dealer,Manual,Second Owner
Tata Fortuner,2020,3972827,85986,CNG,Individual,Manual,First Owner
Audi Swift,2005,4778887,95959,CNG,Individual,Automatic,Second Owner
Mahindra X5,2017,1221436,12035,LPG,Dealer,Manual,Fourth & Above Owner
Honda C-Class,2011,3091912,119767,Petrol,Dealer,Automatic,Fourth & Above Owner
Ford City,2009,1809184,27241,LPG,Trustmark Dealer,Automatic,First Owner
BMW Fortuner,2012,4998793,62975,Diesel,Dealer,Manual,Fourth & Above Owner
Mahindra C-Class,2018,4384238,66396,Petrol,Dealer,Manual,Third Owner
BMW X5,2017,2528476,128920,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Toyota City,2019,684273,96226,LPG,Dealer,Manual,Fourth & Above Owner
Honda City,2021,2603233,94719,LPG,Dealer,Automatic,Fourth & Above Owner
Toyota Fortuner,2019,3022236,73014,Diesel,Trustmark Dealer,Manual,Second Owner
Maruti Swift,2022,888332,49346,Diesel,Trustmark Dealer,Manual,Second Owner
Toyota X5,2022,926448,80411,LPG,Individual,Manual,First Owner
Maruti Fortuner,2006,270463,86441,Diesel,Trustmark Dealer,Manual,First Owner
Maruti X5,2008,1333183,56121,CNG,Individual,Manual,First Owner
Mahindra Swift,2005,3066457,70197,Diesel,Dealer,Automatic,Fourth & Above Owner
BMW Swift,2008,2630992,94577,Diesel,Trustmark Dealer,Automatic,Second Owner
Ford Fortuner,2022,4514380,104634,LPG,Trustmark Dealer,Manual,Third Owner
Tata Swift,2009,1360294,110211,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Toyota C-Class,2023,4918784,145909,Petrol,Dealer,Automatic,Fourth & Above Owner
Tata City,2019,2544688,11466,Petrol,Individual,Manual,Fourth & Above Owner
Honda Fortuner,2012,236413,40771,LPG,Dealer,Automatic,Third Owner
Maruti X5,2021,3148632,93886,Diesel,Dealer,Automatic,First Owner
BMW C-Class,2005,764430,75911,Diesel,Trustmark Dealer,Manual,Third Owner
Hyundai Fortuner,2016,3868508,98422,Petrol,Individual,Automatic,First Owner
Audi Swift,2023,3224015,83369,Petrol,Dealer,Manual,Third Owner
Mahindra Swift,2019,1115480,11893,Petrol,Trustmark Dealer,Manual,Second Owner
Ford Swift,2013,3841141,40573,CNG,Dealer,Automatic,Fourth & Above Owner
Mercedes Swift,2011,3581915,106907,CNG,Dealer,Automatic,Fourth & Above Owner
Mahindra X5,2006,242056,109956,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Hyundai C-Class,2013,2348983,128580,Diesel,Trustmark Dealer,Automatic,First Owner
Audi City,2014,3142775,101404,Petrol,Individual,Manual,Third Owner
Hyundai X5,2006,973952,67724,CNG,Dealer,Automatic,Second Owner
Toyota X5,2023,1108380,96133,Diesel,Trustmark Dealer,Automatic,Third Owner
Maruti City,2015,4820792,25989,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Ford City,2017,1537768,38931,Diesel,Individual,Manual,Second Owner
Jaguar Swift,2014,3290930,19290,CNG,Individual,Manual,Second Owner
Maruti X5,2018,2060971,131136,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Jaguar Fortuner,2022,1714101,89878,Diesel,Individual,Manual,Third Owner
Tata City,2023,2530344,100477,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Audi City,2013,1606150,136299,Diesel,Dealer,Automatic,Third Owner
BMW C-Class,2011,725005,115686,LPG,Individual,Automatic,Second Owner
Mercedes Fortuner,2007,3619548,117286,CNG,Dealer,Manual,Second Owner
Honda Fortuner,2010,1429458,50475,CNG,Dealer,Manual,Fourth & Above Owner
Maruti City,2006,1367272,92666,LPG,Dealer,Manual,Second Owner
Ford Swift,2010,4955997,106622,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai C-Class,2007,3650087,145705,Diesel,Dealer,Automatic,Second Owner
Ford Fortuner,2020,1693551,117573,CNG,Dealer,Automatic,First Owner
Audi City,2012,4173313,56546,LPG,Dealer,Manual,Second Owner
Tata Fortuner,2006,2636831,17008,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar C-Class,2021,4365255,58291,Diesel,Dealer,Manual,Fourth & Above Owner
Hyundai C-Class,2013,1906517,46386,Diesel,Dealer,Automatic,First Owner
Honda X5,2016,3397445,100909,Petrol,Individual,Manual,Fourth & Above Owner
Honda City,2007,3348491,43040,LPG,Trustmark Dealer,Manual,Second Owner
Maruti C-Class,2015,555054,70354,Diesel,Dealer,Automatic,Second Owner
Audi X5,2005,3401208,88543,Petrol,Individual,Automatic,Fourth & Above Owner
BMW X5,2017,4039847,28157,LPG,Trustmark Dealer,Manual,Second Owner
Audi Fortuner,2019,1366670,45315,Diesel,Trustmark Dealer,Manual,Third Owner
Tata Fortuner,2009,880667,45932,CNG,Trustmark Dealer,Automatic,Third Owner
Jaguar X5,2021,3048883,123880,Petrol,Trustmark Dealer,Manual,Second Owner
Ford Fortuner,2010,2214017,142018,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Honda C-Class,2015,4839276,24693,Diesel,Trustmark Dealer,Automatic,First Owner
Ford Swift,2022,4222261,37241,Diesel,Dealer,Automatic,Fourth & Above Owner
Ford C-Class,2008,4837203,125194,Petrol,Dealer,Automatic,First Owner
Ford X5,2007,4875519,105790,CNG,Dealer,Manual,Fourth & Above Owner
Honda X5,2017,2199482,82255,CNG,Dealer,Automatic,Second Owner
Tata C-Class,2013,3849244,21350,LPG,Individual,Automatic,Third Owner
Mahindra Fortuner,2010,4814466,66809,Diesel,Dealer,Manual,Fourth & Above Owner
Toyota Fortuner,2016,4113397,111894,CNG,Trustmark Dealer,Manual,First Owner
Jaguar X5,2006,3288589,107557,LPG,Dealer,Automatic,Third Owner
Mahindra City,2007,4439399,41728,CNG,Dealer,Automatic,First Owner
Jaguar Fortuner,2007,1721722,27576,Diesel,Trustmark Dealer,Manual,Second Owner
Hyundai C-Class,2016,2062205,93384,LPG,Dealer,Manual,Third Owner
Audi Fortuner,2019,1665915,10390,LPG,Dealer,Automatic,First Owner
Audi C-Class,2013,550067,55436,LPG,Dealer,Automatic,Fourth & Above Owner
