car_brand,car_age,kilometers_driven,engine_capacity,mileage,owners,fuel_type,transmission,selling_price
Jaguar,8,80769,3515,8.82,2,CNG,Automatic,3385597.25
Ford,12,71677,1896,21.95,4,Petrol,Manual,94455.34
Mercedes,8,88555,3479,22.05,3,CNG,Manual,3281360.73
Honda,12,133379,2647,18.0,2,CNG,Automatic,491627.65
Maruti,6,106665,3964,14.0,2,CNG,Automatic,1168450.25
Land Rover,12,73803,1304,21.6,3,CNG,Manual,2643139.48
Toyota,11,96703,2421,17.43,4,CNG,Automatic,639277.39
BMW,13,26312,3183,22.04,2,Diesel,Automatic,3180717.64
Land Rover,4,122961,3272,18.73,3,CNG,Manual,3755372.14
Maruti,2,45379,3346,21.33,4,Diesel,Manual,1389743.48
Land Rover,14,22297,2187,18.18,4,CNG,Manual,2831276.1
Maruti,2,7011,3794,15.04,2,Diesel,Manual,1698901.06
Maruti,9,125234,3477,24.29,1,Diesel,Automatic,952382.08
Hyundai,5,49014,2022,17.2,1,Petrol,Automatic,990499.66
Jaguar,4,147810,1517,18.29,2,CNG,Manual,2783765.08
Honda,10,99333,1138,11.75,4,Petrol,Manual,-11516.88
Hyundai,13,16120,1458,18.64,2,Petrol,Automatic,222163.01
Toyota,1,144839,1761,17.72,3,CNG,Manual,969077.99
Hyundai,7,27852,1228,11.14,1,Petrol,Manual,407113.91
Audi,3,84239,1698,9.01,3,CNG,Manual,2786921.13
Audi,6,137001,938,18.27,2,Petrol,Manual,2282316.27
Honda,5,96575,3789,20.98,2,CNG,Automatic,1502309.59
Land Rover,5,100040,1341,16.9,4,CNG,Manual,3030033.63
Jaguar,11,10744,2904,11.86,4,CNG,Automatic,3141459.93
Honda,5,143141,2055,19.33,4,Diesel,Manual,640944.72
Maruti,1,47359,3505,9.36,3,Petrol,Manual,1323304.25
Mercedes,1,103746,3282,15.51,4,Diesel,Automatic,4047464.31
Jaguar,3,125906,1183,10.78,2,Petrol,Manual,2835265.68
Jaguar,14,12597,3407,11.14,4,Petrol,Automatic,3012748.0
Maruti,12,52093,993,11.44,1,Petrol,Manual,-239837.98
Maruti,10,119650,3381,14.57,4,Diesel,Manual,504010.96
BMW,4,125956,3365,8.87,3,Petrol,Manual,3223285.13
Honda,5,120598,3563,14.76,1,Diesel,Manual,1321126.15
Maruti,2,138241,3598,16.7,1,CNG,Manual,1125862.25
Audi,8,13036,3032,16.22,1,Petrol,Automatic,3347244.16
Toyota,11,36778,2695,14.51,3,Petrol,Automatic,933824.27
Mercedes,11,142416,3139,22.27,2,CNG,Manual,2852123.36
Honda,14,23800,1531,10.47,4,CNG,Manual,-41070.29
Ford,2,30372,2963,16.6,1,Petrol,Automatic,1661992.39
Audi,9,66516,3672,9.05,1,CNG,Automatic,3290127.58
Land Rover,2,25538,3920,9.21,1,Diesel,Manual,4555787.72
Maruti,13,68918,1484,17.76,2,Diesel,Manual,-70272.71
Ford,9,76155,881,17.62,2,Petrol,Automatic,270416.18
Maruti,7,64500,3681,22.93,3,Diesel,Manual,1067618.25
Jaguar,8,115659,3180,17.48,2,Diesel,Automatic,3365634.89
Audi,11,32716,3404,24.32,4,Petrol,Manual,2882452.2
Jaguar,2,139308,3182,8.83,3,CNG,Automatic,3544533.25
BMW,7,7352,1331,9.67,3,Petrol,Automatic,2880142.43
Jaguar,12,138004,2783,8.75,4,Diesel,Manual,2547365.73
BMW,6,81449,1020,11.15,4,Petrol,Automatic,2671625.15
BMW,4,13556,1434,17.2,4,Petrol,Manual,2969755.85
Ford,7,91836,2569,18.97,3,Diesel,Manual,791595.72
Maruti,14,141570,3170,8.77,3,Diesel,Manual,23277.49
Land Rover,13,55098,2674,24.08,3,Petrol,Manual,3059393.99
Jaguar,4,117169,802,22.32,4,Diesel,Automatic,2975460.06
Audi,2,145641,2517,13.04,4,Diesel,Manual,3054597.92
BMW,10,131060,1005,9.31,1,Diesel,Manual,2236252.3
Maruti,12,135544,2655,10.89,2,Diesel,Manual,164866.59
Mercedes,7,5340,839,10.16,1,Diesel,Manual,3030378.14
Honda,8,87302,2906,10.1,4,Diesel,Automatic,1041454.0
Ford,2,5138,3798,16.82,3,CNG,Manual,1683544.01
Land Rover,5,136430,3421,12.18,4,Petrol,Automatic,3775877.28
Hyundai,1,124619,1443,14.09,2,Diesel,Automatic,1025805.64
Ford,7,90376,2330,24.82,1,Petrol,Automatic,939075.18
Mercedes,8,104931,2707,19.63,1,CNG,Manual,3127918.06
Honda,13,86532,3690,24.13,3,Diesel,Manual,785799.35
Mercedes,6,60778,3993,10.42,1,Petrol,Manual,3716873.42
Jaguar,5,42772,3466,14.5,1,Diesel,Manual,3783657.66
BMW,6,63478,2943,17.43,4,Diesel,Automatic,3469243.68
Land Rover,2,31762,1697,9.3,1,Diesel,Automatic,4113702.32
Toyota,1,149355,1885,8.07,1,Diesel,Manual,1176979.94
BMW,7,60568,2079,19.4,1,Diesel,Manual,3041161.71
Toyota,7,90090,3408,18.91,3,Diesel,Manual,1250760.17
Honda,10,25219,3752,14.98,3,Diesel,Manual,1143176.89
Maruti,11,62169,3195,16.32,4,CNG,Manual,363384.16
Hyundai,10,79965,1470,15.06,1,CNG,Manual,118862.64
Audi,14,89754,3995,8.41,3,Diesel,Manual,2721779.77
BMW,2,82988,2305,13.7,3,Diesel,Automatic,3571486.26
Land Rover,2,137379,3164,11.01,4,CNG,Automatic,3906837.62
Mercedes,1,85388,1518,9.67,2,CNG,Automatic,3440174.82
Land Rover,10,95768,1871,24.26,1,CNG,Automatic,3247060.72
Honda,8,40428,2755,18.19,3,Diesel,Manual,1025644.1
Toyota,8,97021,1959,20.39,4,Petrol,Manual,599684.09
Mercedes,1,123418,1049,13.36,4,Petrol,Manual,2942896.9
Audi,12,137212,3161,14.68,4,Petrol,Manual,2381660.59
Audi,11,31421,2692,12.03,3,Petrol,Manual,2619245.87
BMW,8,6708,2653,9.65,1,Diesel,Automatic,3527220.79
Honda,9,139702,3654,11.04,2,Petrol,Manual,725064.31
Maruti,14,81021,2303,21.56,1,CNG,Automatic,175560.21
Honda,4,49789,3332,19.52,4,CNG,Manual,1289046.05
Toyota,1,31086,2034,17.3,4,Petrol,Automatic,1491337.66
Land Rover,1,21859,843,16.08,2,CNG,Manual,3569182.0
Audi,3,12684,3418,23.68,1,Diesel,Automatic,4044029.55
Land Rover,14,96088,1382,9.24,4,Petrol,Manual,2346331.58
Land Rover,5,137279,3963,12.77,4,Petrol,Manual,3769344.66
Land Rover,5,51099,2088,13.95,1,Diesel,Manual,3743189.5
Audi,9,71093,3742,21.3,4,CNG,Manual,2986559.72
Ford,10,53651,1019,24.87,1,Diesel,Automatic,511410.51
Jaguar,14,18893,2725,12.09,4,Diesel,Manual,2760606.1
Toyota,12,71418,3772,22.86,1,CNG,Automatic,1237446.31
Ford,2,130074,3248,22.12,2,Diesel,Manual,1350777.6
Toyota,2,108065,3574,11.82,4,CNG,Automatic,1645765.55
Mercedes,6,135351,1790,14.79,2,CNG,Manual,2828757.16
Honda,9,43635,3746,14.96,4,Diesel,Manual,1166987.04
Honda,1,100071,2612,24.63,4,CNG,Automatic,1362041.63
Hyundai,9,83518,1657,11.08,3,Diesel,Manual,264438.79
Honda,9,111233,1603,21.59,1,CNG,Manual,326021.05
Audi,13,108651,1289,13.68,2,Petrol,Automatic,2114835.74
Maruti,9,77805,2580,20.42,2,CNG,Manual,443561.91
BMW,5,127813,2293,15.14,2,CNG,Automatic,3079734.09
Hyundai,13,84063,3785,17.83,1,Diesel,Manual,752856.53
BMW,9,7454,3691,22.15,3,CNG,Automatic,3478314.18
Toyota,11,25878,2505,21.67,2,Petrol,Automatic,1018049.08
BMW,4,149063,3114,22.73,1,Petrol,Automatic,3408285.68
BMW,2,73344,853,9.01,4,CNG,Automatic,2956258.49
Hyundai,13,109946,3375,19.76,2,CNG,Manual,320177.11
Mercedes,6,41593,1415,10.38,2,Petrol,Manual,2954565.76
Land Rover,14,41304,1882,15.07,3,Diesel,Automatic,3107286.47
Honda,4,118613,2648,17.33,2,Petrol,Manual,968390.08
Honda,6,23354,3911,14.85,2,Petrol,Manual,1438561.36
Audi,3,27190,1754,16.83,4,CNG,Manual,2996208.08
Hyundai,6,11142,3233,24.94,1,CNG,Automatic,1441081.6
Audi,2,46862,2429,10.3,1,Petrol,Manual,3337476.29
Maruti,2,130438,3581,19.48,3,Diesel,Manual,1212294.9
Maruti,13,53456,3563,14.73,4,Petrol,Automatic,552286.22
Audi,9,105167,1449,10.26,1,Petrol,Manual,2328626.41
Hyundai,7,87035,3147,10.7,4,Diesel,Automatic,1001985.23
Audi,3,13016,1194,24.14,1,Petrol,Automatic,3233050.8
Honda,13,7384,2159,22.95,4,Petrol,Automatic,550843.11
Ford,11,107239,3440,23.42,3,CNG,Manual,576258.52
Jaguar,1,116431,3361,24.86,2,Diesel,Manual,3817238.93
BMW,8,85018,3243,11.54,3,CNG,Automatic,3207408.46
Jaguar,14,45510,1170,14.04,1,CNG,Automatic,2370094.23
Hyundai,6,26826,1657,19.38,3,Diesel,Automatic,925474.35
Jaguar,7,73026,1590,16.22,2,Diesel,Automatic,3144200.89
Maruti,9,126668,1457,15.11,3,Petrol,Automatic,67980.0
Toyota,5,29045,3583,14.08,1,CNG,Automatic,1800420.01
BMW,1,95102,2192,18.09,1,Diesel,Manual,3460795.21
Land Rover,12,56919,1183,17.79,3,CNG,Automatic,2869970.36
Hyundai,10,104441,2909,10.74,2,CNG,Automatic,593309.11
BMW,7,141917,3352,16.02,3,Diesel,Automatic,3305267.65
Jaguar,5,123325,1038,17.41,2,Petrol,Manual,2631293.35
Maruti,3,24337,994,17.69,4,CNG,Manual,476659.66
Mercedes,12,82949,3525,11.57,2,Diesel,Manual,3143696.62
Ford,13,5276,2908,20.62,4,Petrol,Manual,560372.18
Land Rover,9,56151,1952,8.43,3,CNG,Automatic,3296461.13
Ford,1,148016,3837,14.03,2,Diesel,Manual,1541627.82
BMW,1,57887,3532,21.26,4,CNG,Automatic,3917524.41
Maruti,1,86442,2815,17.59,4,Diesel,Automatic,1327634.77
Maruti,3,54847,955,12.44,4,Diesel,Automatic,686432.91
Jaguar,12,63653,1722,19.81,1,CNG,Automatic,2762529.4
Honda,6,61622,3715,17.65,3,CNG,Automatic,1422536.38
Jaguar,10,32810,3750,21.54,4,Diesel,Automatic,3582714.55
Honda,11,82842,2409,20.5,2,Petrol,Manual,437551.9
Honda,3,127225,3846,18.37,4,CNG,Manual,1253182.32
Land Rover,8,15503,1774,16.3,1,Diesel,Manual,3535612.7
Jaguar,14,89761,2030,10.26,3,Diesel,Manual,2371746.44
Mercedes,14,131439,3235,12.44,1,Petrol,Manual,2686603.55
Audi,10,16590,2614,15.12,1,Petrol,Automatic,3076241.56
Audi,2,146958,3734,18.19,1,Petrol,Manual,3478290.15
Jaguar,14,148938,1637,16.73,2,CNG,Manual,1989571.93
Jaguar,9,71624,2807,12.9,3,Diesel,Manual,3084547.22
Ford,3,145836,2163,8.11,3,Diesel,Automatic,1025247.43
Land Rover,5,125356,3187,16.44,2,Diesel,Automatic,3991810.74
Jaguar,10,47727,1003,12.86,3,Petrol,Automatic,2565646.68
Ford,8,83471,960,20.49,1,Diesel,Manual,370914.76
Honda,2,13068,1191,8.41,3,CNG,Manual,913538.45
Maruti,6,121923,1568,17.94,2,Petrol,Manual,227631.45
Maruti,12,143367,3422,24.01,1,Petrol,Manual,335156.26
Honda,5,16390,3381,10.96,2,Petrol,Manual,1365354.03
Hyundai,13,111752,1893,16.02,4,Petrol,Automatic,-18226.61
Ford,10,99754,3740,9.55,1,CNG,Manual,840242.7
Ford,9,80969,1204,18.64,1,Diesel,Automatic,576415.17
Honda,12,82064,1407,17.36,3,CNG,Manual,-15411.3
Mercedes,5,26281,2414,14.93,1,Diesel,Automatic,3805549.3
Toyota,2,59189,2340,16.86,2,CNG,Automatic,1541747.09
BMW,5,53511,3675,23.24,3,Petrol,Automatic,3690755.91
Honda,12,127115,3991,11.34,4,Petrol,Automatic,749058.45
Jaguar,4,13605,2637,8.38,2,CNG,Manual,3489803.3
Jaguar,11,105318,1489,22.65,4,CNG,Manual,2262069.07
Land Rover,7,137453,3749,17.81,4,Diesel,Manual,3697524.97
Honda,6,24810,2040,23.14,4,CNG,Automatic,1012255.66
Land Rover,14,46869,2903,18.15,1,CNG,Manual,3138715.69
Honda,2,37955,1165,21.77,2,Diesel,Manual,1090196.12
Ford,12,66388,2522,15.3,2,Diesel,Manual,526457.25
BMW,11,15207,1254,20.75,1,Diesel,Manual,2669888.73
Ford,11,27031,903,23.52,3,CNG,Automatic,303438.86
Toyota,13,85807,876,17.73,4,Diesel,Automatic,190200.76
Maruti,5,76312,1029,11.07,2,Petrol,Manual,252337.69
Audi,7,64766,2737,12.57,1,Petrol,Manual,2958055.88
Honda,11,148521,3178,11.38,4,Petrol,Manual,376212.57
Toyota,7,94833,2005,12.2,3,CNG,Automatic,852274.92
Maruti,5,116041,1692,13.21,3,Petrol,Automatic,489339.61
Hyundai,12,121185,2373,17.44,4,CNG,Automatic,153800.19
BMW,9,15350,3535,18.0,3,CNG,Manual,3231408.18
Land Rover,4,105859,2874,15.25,2,Petrol,Automatic,3931787.66
Land Rover,11,73487,2475,18.46,2,Diesel,Automatic,3467984.92
Ford,3,128853,1098,9.39,2,CNG,Automatic,693874.72
Jaguar,4,58117,1756,9.49,3,Petrol,Automatic,3229793.49
Maruti,5,106084,3646,10.92,2,CNG,Automatic,1149662.25
Hyundai,13,28782,1914,16.81,1,Diesel,Manual,339962.89
Toyota,6,33454,3327,11.64,2,Diesel,Manual,1535078.8
BMW,3,72904,3420,12.82,2,Petrol,Manual,3502865.73
Maruti,2,134936,3305,14.81,3,CNG,Manual,941284.94
Hyundai,14,127258,2274,21.8,2,CNG,Automatic,113345.53
Audi,13,116668,1164,8.24,4,CNG,Manual,1693509.58
Honda,4,129184,3706,19.04,1,CNG,Manual,1302224.64
Land Rover,5,21566,2498,19.37,3,Petrol,Manual,3700603.56
Toyota,4,143262,1150,21.58,1,Diesel,Automatic,992362.46
Land Rover,14,43333,3100,23.86,4,Petrol,Manual,3121761.79
Toyota,11,126929,3628,8.34,3,CNG,Automatic,893660.41
Ford,13,94571,2704,10.61,3,CNG,Automatic,404878.58
Jaguar,12,125263,3650,23.06,2,Diesel,Automatic,3228066.56
Toyota,3,137661,1811,15.79,1,CNG,Manual,914547.89
Land Rover,8,30235,3306,17.6,4,Petrol,Automatic,3843496.51
Ford,10,5159,3764,19.27,4,Petrol,Manual,1000252.41
Toyota,4,148217,1298,19.54,3,Diesel,Manual,714409.58
Audi,14,109859,1749,23.84,2,Petrol,Manual,2012917.8
Jaguar,2,112507,2794,24.95,3,Petrol,Automatic,3606788.12
Toyota,2,144316,2846,20.24,3,Petrol,Automatic,1448203.81
Ford,1,19743,1307,12.88,3,Petrol,Manual,973261.65
Maruti,13,51101,2127,22.96,3,CNG,Automatic,198071.76
Mercedes,4,126534,3348,8.84,4,Petrol,Automatic,3568465.32
Hyundai,10,89227,3650,11.93,4,Diesel,Automatic,949446.92
Mercedes,9,76126,3445,23.26,3,Diesel,Manual,3368338.47
Mercedes,14,61071,965,12.36,3,Petrol,Automatic,2277397.57
BMW,11,79763,3309,11.75,2,Diesel,Automatic,3179852.59
Audi,7,148309,1719,10.35,3,Petrol,Manual,2280850.84
Maruti,12,51154,913,22.6,4,Diesel,Automatic,65248.6
Honda,10,12016,1791,16.5,1,Diesel,Manual,750196.64
Toyota,7,94678,2751,19.47,4,Petrol,Automatic,1078349.34
Hyundai,13,117056,3054,12.06,2,Petrol,Automatic,378477.87
Jaguar,7,59238,2058,20.89,4,CNG,Automatic,3072142.73
Maruti,8,63608,1314,20.92,1,Petrol,Automatic,378695.36
Land Rover,1,94081,2031,13.31,3,Petrol,Automatic,3828949.53
Honda,10,55961,1508,14.98,1,CNG,Automatic,597439.41
BMW,13,31917,3996,11.56,3,Petrol,Manual,3002320.99
BMW,10,32990,2985,24.6,3,Petrol,Automatic,3158014.44
Maruti,8,67551,1138,18.98,4,CNG,Automatic,211806.98
Ford,4,85811,3384,23.89,4,Petrol,Automatic,1367345.42
Mercedes,4,60103,867,13.16,4,Petrol,Manual,2838076.76
Land Rover,4,111122,2396,21.29,2,CNG,Manual,3543380.44
BMW,6,24008,2364,21.02,4,CNG,Manual,3026112.44
Hyundai,7,37402,1182,19.76,2,Diesel,Automatic,754845.89
BMW,6,141865,818,24.42,4,Petrol,Automatic,2422319.03
Jaguar,1,141643,3530,14.69,3,Diesel,Manual,3724557.13
Toyota,12,118550,2921,10.22,2,Diesel,Manual,654395.95
BMW,8,96218,1372,19.42,1,CNG,Manual,2520842.98
Jaguar,13,138296,3786,20.4,2,Petrol,Automatic,2989201.02
Maruti,10,125779,2099,17.78,2,Petrol,Manual,27711.15
Maruti,11,134714,3919,11.52,1,CNG,Automatic,707072.71
Honda,13,37441,3058,16.58,2,Diesel,Automatic,950800.11
BMW,7,67368,3702,13.31,3,CNG,Automatic,3507020.65
Hyundai,6,97122,2743,15.27,4,Petrol,Manual,600175.81
BMW,6,49760,1450,18.97,1,CNG,Automatic,3051155.38
Hyundai,5,28478,2445,20.67,4,Petrol,Manual,860042.9
Audi,6,132881,1793,11.95,3,Diesel,Manual,2613878.95
Honda,12,76854,3542,14.89,1,Petrol,Manual,719746.5
Audi,9,99230,3387,12.58,4,Diesel,Manual,2936452.06
BMW,10,90716,2138,11.38,4,Diesel,Automatic,2782890.69
Honda,9,148252,1700,21.32,3,Petrol,Automatic,326506.07
Audi,10,103538,2484,23.46,4,Petrol,Automatic,2660659.36
Mercedes,8,20372,3627,14.29,3,Diesel,Automatic,3892465.32
BMW,10,34796,2385,20.77,2,CNG,Manual,2814235.68
Audi,9,103826,2723,23.25,3,Petrol,Manual,2651627.75
Mercedes,13,125592,2581,22.38,2,Diesel,Manual,2750784.1
Mercedes,10,98635,1936,11.11,1,Diesel,Manual,2821037.32
Maruti,8,116022,3017,24.26,4,CNG,Automatic,672885.04
BMW,8,59040,2744,14.4,3,Petrol,Manual,2947538.22
Mercedes,1,80357,1837,13.77,3,Diesel,Automatic,3680394.62
Maruti,10,83356,2538,9.06,4,CNG,Manual,143266.62
Audi,11,21211,1087,16.26,4,Diesel,Manual,2303270.74
Jaguar,5,110426,3036,9.85,1,Petrol,Manual,3242100.72
BMW,4,10842,3761,12.23,1,CNG,Manual,3792133.43
Honda,2,71852,2390,13.39,3,Diesel,Automatic,1440815.06
Hyundai,8,130737,3541,21.75,1,CNG,Automatic,994770.03
Hyundai,3,50968,2545,22.88,2,Petrol,Automatic,1259177.13
Audi,4,22508,3735,13.14,1,CNG,Automatic,3867136.26
Ford,12,59575,3318,22.6,1,Petrol,Manual,734427.52
Ford,7,71914,1898,22.57,3,Diesel,Manual,692390.42
Audi,10,72055,3124,21.0,2,Petrol,Automatic,3033227.98
Mercedes,9,92697,1739,10.49,1,Diesel,Automatic,3077717.41
BMW,2,111239,2248,19.74,2,Diesel,Manual,3359028.99
Hyundai,3,128106,1370,24.07,2,Petrol,Manual,486382.42
Hyundai,4,10355,3704,19.6,2,Diesel,Automatic,1805089.04
Mercedes,10,59120,1800,13.64,4,CNG,Automatic,2818026.33
Hyundai,1,43342,2005,16.51,4,Diesel,Automatic,1324920.36
Honda,7,7257,3305,18.98,4,Petrol,Manual,1165294.47
BMW,2,32364,1717,16.68,4,CNG,Automatic,3328371.85
Toyota,5,116715,2674,10.04,3,CNG,Automatic,1144972.88
Hyundai,1,31654,1632,13.31,1,Diesel,Automatic,1400508.82
Audi,3,86423,3935,21.64,4,Diesel,Automatic,3866577.49
Honda,12,34320,3686,22.64,3,Petrol,Automatic,1065910.32
Hyundai,2,25808,3040,10.33,1,CNG,Manual,1373466.74
Honda,1,57389,2478,24.19,4,Petrol,Automatic,1457521.06
Maruti,7,123581,1415,13.59,1,Diesel,Manual,272669.53
Toyota,5,132927,1205,19.26,4,CNG,Automatic,663574.34
Land Rover,1,39773,2549,20.78,3,Petrol,Automatic,4186301.48
Audi,6,81396,3790,21.8,2,Petrol,Automatic,3533259.7
Audi,5,112692,3568,24.08,2,Petrol,Manual,3235512.6
BMW,3,62505,892,13.32,1,Petrol,Manual,2828346.27
Honda,12,90896,3277,22.59,3,Petrol,Manual,529995.1
Mercedes,7,23135,1453,10.24,2,CNG,Automatic,3153372.91
Audi,11,95887,1233,19.99,4,Petrol,Automatic,2181858.51
Honda,10,127118,1935,20.61,2,CNG,Manual,205668.77
Honda,9,52377,1174,19.52,1,Petrol,Manual,365499.89
Jaguar,14,67491,3930,12.29,1,Diesel,Automatic,3308165.58
Jaguar,13,63283,1866,22.84,3,Diesel,Manual,2541152.98
Land Rover,13,21923,1006,10.87,1,Petrol,Automatic,2887803.04
Maruti,9,52591,1579,8.91,2,Diesel,Manual,327063.59
Land Rover,14,67261,2119,20.2,2,CNG,Manual,2825263.75
Hyundai,9,59336,1941,16.08,2,Petrol,Manual,354699.73
Mercedes,2,79083,1331,22.43,2,CNG,Automatic,3412928.46
Hyundai,3,65948,3013,14.52,3,Petrol,Automatic,1316948.85
Ford,7,31672,3490,10.86,4,Diesel,Manual,1215416.46
Hyundai,5,9213,889,22.22,4,CNG,Automatic,622236.76
BMW,2,146365,1917,17.33,3,Diesel,Automatic,3243169.19
Hyundai,3,67507,812,11.22,1,Diesel,Automatic,841542.06
Land Rover,10,62134,3820,20.25,4,Petrol,Automatic,3752054.0
Audi,6,138172,2657,16.69,1,CNG,Manual,2824125.54
Audi,13,33172,1604,18.27,4,Diesel,Automatic,2483714.19
Jaguar,7,25132,1744,15.84,1,Petrol,Automatic,3231718.43
Mercedes,9,23199,3589,22.09,3,Petrol,Manual,3465606.21
Mercedes,1,41609,2657,22.1,2,Petrol,Automatic,3996237.05
BMW,11,144088,2410,20.06,1,Diesel,Automatic,2778342.13
Land Rover,7,36881,3723,9.79,2,Petrol,Automatic,4074398.8
Jaguar,8,29472,2759,22.26,1,CNG,Manual,3250188.5
Ford,12,59131,3507,19.41,1,CNG,Manual,736856.31
Mercedes,14,17828,3879,19.85,1,Diesel,Automatic,3612283.18
Audi,3,101664,1852,14.17,1,CNG,Automatic,3107867.18
Hyundai,4,137473,1095,22.95,1,Petrol,Manual,373172.26
Hyundai,10,20193,3833,20.33,2,Diesel,Manual,1107333.39
Jaguar,6,107518,1725,9.91,1,Petrol,Manual,2827640.02
Land Rover,10,24611,1439,14.93,2,Diesel,Automatic,3379731.63
Land Rover,7,148022,3187,23.07,3,Diesel,Automatic,3797634.61
Maruti,13,81240,1427,8.8,4,Petrol,Manual,-434251.25
Toyota,14,7745,3286,24.34,1,CNG,Automatic,1102982.7
Mercedes,4,60243,1967,19.55,4,CNG,Automatic,3379712.35
Land Rover,8,8866,1741,18.73,2,Diesel,Automatic,3696302.0
Audi,5,133681,1629,12.6,3,Petrol,Automatic,2693737.38
Jaguar,1,76354,2570,12.23,3,Petrol,Automatic,3666554.43
Ford,4,56374,3366,24.01,3,Diesel,Automatic,1633866.75
Maruti,3,119397,1775,13.07,4,CNG,Automatic,558235.4
Honda,9,129577,3916,21.18,2,Petrol,Manual,941835.69
BMW,8,86029,1754,14.68,1,CNG,Manual,2708735.73
Ford,1,98574,2062,10.37,1,CNG,Manual,1050693.42
Honda,11,35431,1751,8.18,2,Diesel,Manual,457191.98
Hyundai,6,34336,1743,17.25,4,Diesel,Manual,655451.23
BMW,9,45992,3002,24.59,1,CNG,Manual,3127837.48
Mercedes,7,60350,2004,14.28,2,Petrol,Manual,3039259.39
Audi,4,74561,2935,14.07,1,Petrol,Manual,3251481.2
BMW,13,56955,2334,13.85,3,Diesel,Manual,2573653.09
Toyota,1,66240,1896,16.85,1,CNG,Automatic,1483052.3
Honda,12,142227,3778,15.49,4,Petrol,Automatic,689250.24
Mercedes,2,51607,978,22.96,2,Petrol,Manual,3198134.22
Toyota,12,57870,3059,16.59,4,Diesel,Automatic,997121.04
Hyundai,5,69110,2628,16.63,2,CNG,Automatic,1035553.52
Toyota,12,121895,2057,10.35,3,Petrol,Manual,195591.55
Maruti,11,9426,1264,24.71,2,Diesel,Manual,272616.76
Maruti,5,32606,2574,12.25,1,Petrol,Manual,881070.14
Jaguar,8,33151,3478,9.25,1,Petrol,Automatic,3583143.3
Ford,6,16308,3672,19.27,3,Petrol,Automatic,1522851.77
Ford,8,95306,2030,18.12,2,Diesel,Manual,660099.44
Mercedes,2,111984,3454,15.06,3,CNG,Automatic,3874174.0
Hyundai,3,7204,1684,15.18,1,Diesel,Automatic,1330276.04
Land Rover,6,97769,3213,21.35,4,CNG,Automatic,3821798.97
Maruti,12,92265,3123,11.33,3,Petrol,Manual,216206.15
Mercedes,13,36131,3227,21.94,4,CNG,Automatic,3113787.61
Land Rover,10,57428,2132,19.03,4,Petrol,Automatic,3227574.7
Ford,3,38870,2454,15.12,2,Petrol,Automatic,1336756.94
Jaguar,6,108547,1744,15.79,3,Diesel,Automatic,3074414.47
Toyota,6,54067,3935,12.36,4,Petrol,Automatic,1613285.16
Maruti,2,117217,3657,20.79,4,Diesel,Automatic,1455365.96
Mercedes,7,103934,1724,16.72,2,CNG,Automatic,3032509.44
BMW,12,147980,2738,13.45,2,CNG,Manual,2359336.16
Land Rover,2,79707,1293,18.13,1,Petrol,Manual,3565160.94
